The solution is    2.0000010

Time taken is   41.6756516 seconds

Number of iterations is 19


Iteration          Xl          Xu          Xr        |Ea|
   1          0.00000     9.00000     4.50000
   2          0.00000     4.50000     2.25000     2.25000
   3          0.00000     2.25000     1.12500     1.12500
   4          1.12500     2.25000     1.68750     0.56250
   5          1.68750     2.25000     1.96875     0.28125
   6          1.96875     2.25000     2.10938     0.14063
   7          1.96875     2.10938     2.03906     0.07031
   8          1.96875     2.03906     2.00391     0.03516
   9          1.96875     2.00391     1.98633     0.01758
  10          1.98633     2.00391     1.99512     0.00879
  11          1.99512     2.00391     1.99951     0.00439
  12          1.99951     2.00391     2.00171     0.00220
  13          1.99951     2.00171     2.00061     0.00110
  14          1.99951     2.00061     2.00006     0.00055
  15          1.99951     2.00006     1.99979     0.00027
  16          1.99979     2.00006     1.99992     0.00014
  17          1.99992     2.00006     1.99999     0.00007
  18          1.99999     2.00006     2.00003     0.00003
  19          1.99999     2.00003     2.00001     0.00002
