The solution is   -0.9999968

Time taken is    0.0272294 seconds

Number of iterations is 20


Iteration          Xl          Xu          Xr        |Ea|
   1         -5.00000     0.00000     0.00000
   2         -3.00000     0.00000    -1.80000     1.20000
   3         -1.80000     0.00000    -0.90000     0.90000
   4         -1.80000    -0.90000    -1.47692     0.57692
   5         -1.47692    -0.90000    -0.97603     0.50089
   6         -1.47692    -0.97603    -1.07181     0.09578
   7         -1.07181    -0.97603    -0.98109     0.09071
   8         -1.07181    -0.98109    -1.00413     0.02303
   9         -1.00413    -0.98109    -0.98596     0.01816
  10         -1.00413    -0.98596    -1.00088     0.01492
  11         -1.00088    -0.98596    -0.99750     0.00338
  12         -1.00088    -0.99750    -1.00068     0.00318
  13         -1.00068    -0.99750    -0.99985     0.00083
  14         -1.00068    -0.99985    -1.00051     0.00065
  15         -1.00051    -0.99985    -0.99997     0.00054
  16         -1.00051    -0.99997    -1.00009     0.00012
  17         -1.00009    -0.99997    -0.99998     0.00011
  18         -1.00009    -0.99998    -1.00001     0.00003
  19         -1.00001    -0.99998    -0.99998     0.00002
  20         -1.00001    -0.99998    -1.00000     0.00002
